service,food,place,menu,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,hours,BusinessAcceptsCreditCards,BikeParking,RestaurantsTakeOut,RestaurantsDelivery,OutdoorSeating
-0.5,0.4444444444444444,0.3333333333333333,0.16666666666666669,Rick Bronson's The Comic Strip,8882 170 Street NW,Edmonton,IL,T5T 4M2,53.523326,-113.624791,3.5,52,1,"Comedy Clubs, Nightlife","{'Monday': '12:0-20:0', 'Tuesday': '11:0-20:30', 'Wednesday': '11:0-20:30', 'Thursday': '11:0-20:30', 'Friday': '11:0-20:30', 'Saturday': '12:0-23:0', 'Sunday': '16:0-20:0'}",,False,,,False
0.043478260869565216,0.16216216216216217,0.2413793103448276,0.2,BlackFinn American Grille,1147 Saint Louis Galleria,Saint Louis,IN,63117,38.6369514,-90.3466696,3.0,75,0,"Burgers, Restaurants, American (New), Comfort Food","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-21:0'}",True,True,True,False,True
1.0,0.42857142857142855,0.3333333333333333,-1.0,Goody's Cafe,2912 Belle Chasse Hwy,Terrytown,AB,70056,29.880818,-90.0211886,3.5,31,0,"Restaurants, Donuts, Food, Coffee & Tea, Cafes, Breakfast & Brunch, Diners","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",True,False,True,False,False
0.75,0.23076923076923078,0.34782608695652173,0.0,B2 Bluefin,401 E City Ave,Bala Cynwyd,FL,19004,40.0079839104,-75.2126064939,4.0,92,0,"Nightlife, Bars, Cocktail Bars, Japanese, Restaurants, Sushi Bars, Asian Fusion","{'Monday': '11:30-22:0', 'Tuesday': '16:30-22:0', 'Wednesday': '11:30-22:0', 'Thursday': '11:30-22:0', 'Friday': '11:30-0:0', 'Saturday': '16:30-0:0', 'Sunday': '16:30-22:0'}",True,True,True,False,False
,,1.0,,Double Decker,1721 E 7th Ave,Tampa,NJ,33605,27.9600845,-82.4398411,3.0,86,1,"Bars, Pool Halls, Nightlife","{'Monday': '16:0-3:0', 'Tuesday': '16:0-3:0', 'Wednesday': '16:0-3:0', 'Thursday': '16:0-3:0', 'Friday': '16:0-3:0', 'Saturday': '14:0-3:0', 'Sunday': '14:0-3:0'}",True,False,,False,True
-1.0,-1.0,,,McDonald's,24 W Marlton Pike,Cherry Hill,FL,08034,39.9147636602,-75.0127789378,1.0,11,1,"Burgers, Fast Food, Restaurants, Food, Coffee & Tea","{'Monday': '5:30-0:0', 'Tuesday': '5:30-0:0', 'Wednesday': '5:30-0:0', 'Thursday': '5:30-0:0', 'Friday': '5:30-0:0', 'Saturday': '5:30-0:0', 'Sunday': '5:30-0:0'}",True,,True,True,
,,-1.0,,Giant Food Store,6542 Logan Sq,New Hope,PA,18938,40.357173,-74.976532,2.5,37,1,"Drugstores, Shopping, Food, Grocery","{'Monday': '6:0-0:0', 'Tuesday': '6:0-0:0', 'Wednesday': '6:0-0:0', 'Thursday': '6:0-0:0', 'Friday': '6:0-0:0', 'Saturday': '6:0-0:0', 'Sunday': '6:0-0:0'}",True,False,True,,
,,,,Abner's Pizza & Grill,200 Fairview Rd,Woodlyn,PA,19094,39.8751524,-75.3436091,1.5,5,0,"American (Traditional), Pizza, Food, Restaurants",,True,,,,
-1.0,-0.3333333333333333,0.0,-1.0,McDonald's,4240 Louisa St,New Orleans,PA,70126,30.0042438706,-90.0364068849,2.0,20,1,"Fast Food, Restaurants, Coffee & Tea, Food, Burgers","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",True,True,True,True,False
0.3225806451612903,0.2545787545787546,0.14957264957264957,0.35714285714285715,Marathon,121 S 16th St,Philadelphia,LA,19102,39.9504833638,-75.1673305865,3.5,593,1,"Sandwiches, American (New), Lounges, Nightlife, Bars, Restaurants, Breakfast & Brunch","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}",True,True,True,True,True
0.0,0.5,-0.3333333333333333,,Tokyo Express,5220 23rd Avenue NW,Edmonton,FL,T6L 6Y7,53.4550264,-113.4229759,2.5,9,1,"Fast Food, Restaurants, Japanese, Sushi Bars",,,False,True,False,False
1.0,0.9,0.6666666666666666,0.3333333333333333,Joe's Grille,6645 E 82nd St,Indianapolis,PA,46250,39.9043479724,-86.0526325399,4.0,35,1,"American (Traditional), Restaurants","{'Monday': '11:0-3:0', 'Tuesday': '11:0-3:0', 'Wednesday': '11:0-3:0', 'Thursday': '11:0-3:0', 'Friday': '11:0-3:0', 'Saturday': '11:0-3:0', 'Sunday': '10:0-3:0'}",True,False,True,True,True
-0.8,0.4166666666666667,-0.09722222222222222,-1.0,Smilie's Restaurant,5725 Jefferson Hwy,Harahan,DE,70123,29.9445042,-90.1857987,2.0,28,0,"Seafood, Restaurants, Italian","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '12:0-21:0', 'Sunday': '11:0-15:0'}",True,True,True,False,False
-1.0,0.0,-0.3333333333333333,-1.0,Spring Chinese Restaurant,3739 Lancaster Ave,Philadelphia,FL,19104,39.9602344,-75.1966365,3.5,58,1,"Chinese, Restaurants","{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-0:0', 'Saturday': '11:0-0:0', 'Sunday': '12:0-23:0'}",True,True,True,True,False
,,1.0,,Roadrunner Hostel,346 E 12th St,Tucson,PA,85701,32.2196947,-110.9641773,3.5,22,0,"Hotels & Travel, Hostels",,False,False,False,False,False
,1.0,1.0,,Mr Baja Fish,4579 S 12th Ave,Tucson,AZ,85714,32.1680084,-110.9771731,4.5,9,0,"Seafood, Restaurants, Mexican","{'Monday': '10:0-22:0', 'Tuesday': '10:0-22:0', 'Wednesday': '10:0-22:0', 'Thursday': '10:0-22:0', 'Friday': '10:0-22:0', 'Saturday': '10:0-22:0', 'Sunday': '10:0-22:0'}",True,True,True,True,False
1.0,-1.0,0.3333333333333333,,Church's Chicken,5720 S Lindbergh Blvd,St. Louis,PA,63123,38.5235704,-90.3515778,2.5,21,1,"American (Traditional), Fast Food, Restaurants, Chicken Wings, Chicken Shop, Breakfast & Brunch","{'Monday': '10:0-22:0', 'Tuesday': '10:0-22:0', 'Wednesday': '10:0-22:0', 'Thursday': '10:0-22:0', 'Friday': '10:0-22:0', 'Saturday': '10:0-22:0', 'Sunday': '10:0-22:0'}",True,False,True,True,False
0.35714285714285715,0.6428571428571429,0.24324324324324326,0.5384615384615384,Pizza Mizza,,Santa Barbara,NV,93105,34.4208305,-119.6981901,3.5,169,0,"Food Delivery Services, Food, Restaurants, Pizza, Italian","{'Monday': '11:0-21:0', 'Sunday': '11:0-21:0'}",True,True,True,True,True
,0.0,0.0,1.0,Bagelicious and More,1232 Kingsway Rd,Brandon,FL,33510,27.9588017985,-82.2789713027,3.5,7,0,"Food, Breakfast & Brunch, Restaurants, Bagels, Coffee & Tea","{'Monday': '6:0-15:30', 'Tuesday': '6:0-15:30', 'Wednesday': '6:0-15:30', 'Thursday': '6:0-15:30', 'Friday': '6:0-15:30', 'Saturday': '6:0-15:30', 'Sunday': '6:0-15:30'}",True,True,,,
,-1.0,1.0,,Uncle Andy's Ice Cream Parlor,3400 Gulf Blvd,St Pete Beach,PA,33706,27.7092613,-82.7375379,4.0,43,1,"Ice Cream & Frozen Yogurt, Food","{'Monday': '6:0-22:0', 'Tuesday': '6:0-22:0', 'Wednesday': '6:0-22:0', 'Thursday': '6:0-22:0', 'Friday': '6:0-22:0', 'Saturday': '6:0-22:0', 'Sunday': '6:0-22:0'}",True,True,True,,
-0.3333333333333333,-0.4444444444444444,0.4444444444444444,-1.0,Staybridge Suites New Orleans French Qtr/Dwtn,501 Tchoupitoulas St,New Orleans,AZ,70130,29.9485469,-90.0673229,3.0,112,0,"Hotels, Hotels & Travel, Event Planning & Services, Venues & Event Spaces","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",True,,,,
1.0,0.0,0.3333333333333333,,Pizza Hut,5263 Ehrlich Rd,Tampa,DE,33624,28.0858899,-82.5393663,2.5,19,1,"Pizza, Restaurants, Chicken Wings, Italian, Fast Food",,True,True,True,True,
,,1.0,1.0,Cecil Creek Farm,73 Democrat Rd,Mickleton,FL,08056,39.7938048,-75.2456956,4.0,14,1,"Food, Farmers Market, Local Flavor","{'Thursday': '11:0-18:0', 'Friday': '11:0-16:0', 'Saturday': '9:0-12:0'}",True,True,True,,
-1.0,0.4,0.75,-0.3333333333333333,Maple Street Patisserie,7638 Maple St,New Orleans,LA,70118,29.9416242,-90.1295134,3.5,171,1,"Restaurants, Food, Sandwiches, Bakeries","{'Tuesday': '6:0-17:0', 'Wednesday': '6:0-17:0', 'Thursday': '6:0-17:0', 'Friday': '6:0-17:0', 'Saturday': '6:0-17:0', 'Sunday': '6:0-12:0'}",True,True,True,False,True
,,,,MedExpress Urgent Care,"10500 Ulmerton Rd, Ste 202",Largo,FL,33771,27.892834976,-82.7845353864,2.5,39,1,"Doctors, Health & Medical, Urgent Care, Walk-in Clinics, Medical Centers, Family Practice","{'Monday': '0:0-0:0', 'Tuesday': '8:0-19:0', 'Wednesday': '8:0-16:0', 'Thursday': '8:0-19:0', 'Friday': '8:0-19:0', 'Saturday': '8:0-19:0', 'Sunday': '8:0-19:0'}",True,,,,
,-1.0,-1.0,-1.0,The Office,9612 Saint Charles Rock Rd,Saint Louis,PA,63114,38.7187984,-90.365985,2.0,5,1,"Bars, Food, Karaoke, Lounges, Nightlife, Beer, Wine & Spirits",,True,False,False,,False
0.2727272727272727,0.5909090909090909,0.45,-0.2,Luberto's Brickoven Pizza,169 N Main St,Dublin,FL,18917,40.3753297,-75.208113,4.0,96,1,"Restaurants, Pizza, Italian","{'Monday': '0:0-0:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '12:0-21:0'}",True,False,True,True,False
0.8055555555555556,0.4971751412429378,0.3238095238095238,0.3333333333333333,Spiro's Restaurant,1054 N Woods Mill Rd,Chesterfield,IN,63017,38.6781756,-90.499149,4.5,158,1,"Mediterranean, Restaurants","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '16:0-22:0', 'Sunday': '16:0-21:0'}",True,False,True,True,True
-0.3333333333333333,-0.16666666666666666,0.16666666666666669,,Fazoli's,1698 Country Club Plaza Dr,Saint Charles,FL,63303,38.7687386424,-90.5228420951,2.5,32,1,"Italian, Restaurants, Pizza, Fast Food","{'Monday': '10:30-22:0', 'Tuesday': '10:30-22:0', 'Wednesday': '10:30-22:0', 'Thursday': '10:30-22:0', 'Friday': '10:30-22:0', 'Saturday': '10:30-22:0', 'Sunday': '10:30-22:0'}",True,True,True,True,False
0.3333333333333333,0.4,0.0,-1.0,Sidelines Grill,"232 Hutton Pl, Ste 101",Ashland City,PA,37015,36.250434,-87.035458,3.0,39,1,"American (New), Restaurants","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-22:0'}",True,True,True,False,True
,,,,Campbell House Museum,1508 Locust St,Saint Louis,DE,63103,38.6313683,-90.2018122,4.5,35,1,"Hotels & Travel, Arts & Entertainment, Tours, Museums, Landmarks & Historical Buildings, Historical Tours, Public Services & Government","{'Monday': '0:0-0:0', 'Wednesday': '10:0-16:0', 'Thursday': '10:0-16:0', 'Friday': '10:0-16:0', 'Saturday': '10:0-16:0', 'Sunday': '12:0-16:0'}",,,,,
,1.0,0.3333333333333333,1.0,The Fat ChickeN,2355 S Bucknell St,Philadelphia,MO,19145,39.9227051442,-75.1861358061,4.5,10,0,"Japanese, Chicken Wings, Fast Food, Restaurants","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '12:0-21:0'}",,,,True,
,0.0,,,Sweetheart Cupcakes,212 E Main St,Plainfield,FL,46168,39.7034253,-86.4009637,3.5,19,0,"Ice Cream & Frozen Yogurt, Coffee & Tea, Bakeries, Food, Cupcakes","{'Tuesday': '10:0-18:0', 'Wednesday': '10:0-18:0', 'Thursday': '10:0-18:0', 'Friday': '10:0-18:0', 'Saturday': '10:0-18:0'}",True,False,,False,False
0.3333333333333333,-0.6666666666666666,0.0,,Captain Al's,"800 2nd Ave NE, Ste 25",Saint Petersburg,LA,33701,27.773918,-82.622729,3.0,7,0,"American (Traditional), Food, Seafood, Restaurants, Beer, Wine & Spirits",,True,,,,True
,1.0,1.0,1.0,Mazfresco Market,3953 Nolensville Pk,Nashville,LA,37211,36.0854606,-86.7288326,4.5,19,1,"Food, International Grocery","{'Monday': '9:0-20:0', 'Tuesday': '9:0-21:0', 'Wednesday': '9:0-21:0', 'Thursday': '9:0-21:0', 'Friday': '9:0-21:0', 'Saturday': '9:0-21:0', 'Sunday': '9:0-20:0'}",True,,True,,
,,,,Chandler Salon,"401 Chapala St, Ste 104",Santa Barbara,LA,93101,34.414825,-119.6961,5.0,41,1,"Beauty & Spas, Barbers, Men's Hair Salons, Hair Salons, Blow Dry/Out Services, Hair Stylists","{'Tuesday': '10:0-19:0', 'Wednesday': '10:0-19:0', 'Thursday': '10:0-19:0', 'Friday': '10:0-19:0', 'Saturday': '9:0-16:0'}",True,True,,,
,,,,Nino's Tailoring & Dry Cleaning,108 White Horse Rd E,Voorhees,PA,08043,39.8407464,-74.9968222,4.5,9,0,"Fashion, Sewing & Alterations, Local Services, Dry Cleaning & Laundry, Formal Wear, Shopping, Clothing Rental, Laundry Services","{'Monday': '8:30-18:0', 'Tuesday': '8:30-18:0', 'Wednesday': '8:30-18:0', 'Thursday': '10:0-18:0', 'Friday': '8:30-18:0', 'Saturday': '8:0-12:0'}",True,True,,,
0.5822784810126582,0.6146435452793834,0.6440677966101694,-0.03571428571428571,Zorba's Taverna,2230 Fairmount Ave,Philadelphia,FL,19130,39.9671642,-75.1748969,4.5,510,1,"Restaurants, Greek, Mediterranean","{'Monday': '0:0-0:0', 'Tuesday': '11:30-21:0', 'Wednesday': '11:30-21:0', 'Thursday': '11:30-21:0', 'Friday': '11:30-21:30', 'Saturday': '11:30-21:30', 'Sunday': '13:0-21:0'}",True,True,True,True,
,-1.0,,,Subway,1 Brookings Dr,Saint Louis,LA,63105,38.647482,-90.309581,2.0,10,1,"Sandwiches, Fast Food, Restaurants","{'Monday': '7:0-21:0', 'Tuesday': '7:0-21:0', 'Wednesday': '7:0-21:0', 'Thursday': '7:0-21:0', 'Friday': '7:0-21:0', 'Saturday': '7:0-21:0', 'Sunday': '7:0-21:0'}",True,,True,False,
0.09090909090909091,0.3333333333333333,0.047619047619047616,-0.5,Federal Donuts,701 N Seventh St,Philadelphia,AZ,19123,39.9641791314,-75.1494241306,4.0,321,1,"Restaurants, Donuts, Chicken Wings, Food, Coffee & Tea","{'Monday': '8:0-18:0', 'Tuesday': '8:0-18:0', 'Wednesday': '8:0-18:0', 'Thursday': '8:0-18:0', 'Friday': '8:0-18:0', 'Saturday': '8:0-18:0', 'Sunday': '8:0-18:0'}",True,True,True,True,True
,1.0,-1.0,,Kenny Bob's Bar-B-Que,2641 Hwy 41 S,Greenbrier,PA,37073,36.432644,-86.806473,5.0,7,0,"Caterers, Event Planning & Services, Barbeque, Restaurants","{'Wednesday': '11:0-19:0', 'Thursday': '11:0-19:0', 'Friday': '11:0-19:0', 'Saturday': '11:0-18:0', 'Sunday': '11:0-15:0'}",True,True,True,False,True
,-1.0,-0.2,-1.0,Cosi,215 Lombard St,Philadelphia,FL,19147,39.9422572,-75.145956,3.5,5,0,"Food, Coffee & Tea",,False,False,False,False,False
-1.0,0.6,1.0,1.0,Enjoi Sweets & Company,"4707 W Gandy Blvd, Ste 7",Tampa,TN,33611,27.8937596,-82.5251669,4.5,9,0,"Desserts, Food, Cafes, Restaurants, Food Trucks, American (Traditional)","{'Thursday': '12:0-21:0', 'Friday': '12:0-21:0', 'Saturday': '12:0-21:0', 'Sunday': '12:0-18:0'}",True,False,,,
0.0,0.4090909090909091,0.3137254901960784,0.0,Yeoman's Cask and Lion,"200 1st Ave S, Ste B",St. Petersburg,LA,33701,27.7698785,-82.6358084,3.5,63,0,"Nightlife, Pubs, Breakfast & Brunch, Bars, Burgers, British, Cocktail Bars, Restaurants","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-0:0', 'Friday': '11:0-0:0', 'Saturday': '11:0-0:0', 'Sunday': '11:0-22:0'}",True,,,False,True
0.75,0.5,0.2222222222222222,0.5,Gyro Shack,5602 W State St,Boise,LA,83703,43.6562033682,-116.2585391,4.0,67,1,"Sandwiches, Restaurants, Fast Food, Greek, Mediterranean","{'Monday': '0:0-0:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-18:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-18:0', 'Saturday': '10:0-21:0', 'Sunday': '11:30-19:0'}",True,True,True,True,True
0.3333333333333333,0.47058823529411764,0.7272727272727273,0.2857142857142857,Mi Tenampa,"11915 Pendleton Pike, Ste L",Indianapolis,FL,46236,39.8722939,-85.955155,4.0,67,1,"Restaurants, Specialty Food, Tex-Mex, Mexican, Latin American, Ethnic Food, Food","{'Monday': '11:0-21:30', 'Tuesday': '11:0-21:30', 'Wednesday': '11:0-21:30', 'Thursday': '11:0-21:30', 'Friday': '11:0-22:30', 'Saturday': '11:0-22:30', 'Sunday': '11:0-20:30'}",True,False,True,True,False
,,-1.0,,Francesca's,4017 Hillsboro Pike,Nashville,PA,37215,36.1036973,-86.8180493,3.5,12,1,"Fashion, Shopping, Accessories, Women's Clothing","{'Monday': '10:0-19:0', 'Tuesday': '10:0-19:0', 'Wednesday': '10:0-19:0', 'Thursday': '10:0-19:0', 'Friday': '10:0-19:0', 'Saturday': '10:0-19:0', 'Sunday': '12:0-17:0'}",True,,,,
-0.2608695652173913,0.25,0.23076923076923078,0.3076923076923077,La Creperie Cafe,1722 Sansom St,Philadelphia,MO,19103,39.9506242,-75.1697297,3.5,146,0,"Restaurants, Cafes, Creperies","{'Monday': '11:30-16:0', 'Tuesday': '11:30-21:30', 'Wednesday': '11:30-21:30', 'Thursday': '11:30-21:30', 'Friday': '11:30-21:30', 'Saturday': '11:0-22:0', 'Sunday': '10:0-19:0'}",True,True,True,False,False
,,,,JetBlue,8500 Essington Ave,Philadelphia,CA,19153,39.876019,-75.242969,3.5,19,1,"Airports, Food, Transportation, Shopping, Hotels & Travel, Airlines",,False,False,False,False,False
-0.5,0.3076923076923077,0.09523809523809523,0.0,Ali Baba,732 Saint Peter St,New Orleans,FL,70116,29.9583113,-90.0655086,4.0,80,0,"Middle Eastern, Mediterranean, Restaurants, Greek",,False,True,True,False,False
0.25,0.5652173913043478,0.2777777777777778,0.75,Noodles & Company,995 Meridian Blvd,Franklin,FL,37067,35.9507763407,-86.8076293517,3.5,86,1,"Noodles, American (New), Comfort Food, Asian Fusion, Mediterranean, Diners, Italian, Restaurants, Pasta Shops, Salad, Specialty Food, Food","{'Monday': '0:0-0:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}",True,False,True,True,True
,,-1.0,,"American Freight Furniture, Mattress, Appliance",3409 N Interstate 10 Service Rd W,Metairie,LA,70002,29.9983984885,-90.1589593,3.0,22,1,"Home & Garden, Furniture Stores, Mattresses, Shopping, Home Decor, Appliances","{'Monday': '0:0-0:0', 'Tuesday': '10:0-20:0', 'Wednesday': '10:0-18:0', 'Thursday': '10:0-20:0', 'Friday': '10:0-18:0', 'Saturday': '9:0-20:0', 'Sunday': '11:0-18:0'}",True,,True,True,
1.0,1.0,,1.0,Gilley's Antique Mall,5789 E US Hwy 40,Plainfield,LA,46168,39.6949931921,-86.4230714504,4.5,24,1,"Home Decor, Shopping, Antiques, Books, Mags, Music & Video, Home & Garden","{'Monday': '10:0-17:0', 'Tuesday': '10:0-17:0', 'Wednesday': '10:0-17:0', 'Thursday': '10:0-17:0', 'Friday': '10:0-17:0', 'Saturday': '10:0-17:0', 'Sunday': '10:0-17:0'}",True,True,,,
0.0,0.25,0.0,1.0,Yummy 2,5 E Baltimore Ave,Clifton Heights,PA,19018,39.9293780339,-75.2970991284,4.0,52,1,"Specialty Food, Food, Restaurants, Coffee & Tea, Breakfast & Brunch","{'Monday': '6:30-14:30', 'Tuesday': '6:30-14:30', 'Wednesday': '6:30-14:30', 'Thursday': '6:30-14:30', 'Friday': '6:30-14:30', 'Saturday': '6:30-14:30', 'Sunday': '6:30-14:30'}",True,True,True,False,False
1.0,1.0,,,David Thomas Trailways,14005 McNulty Rd,Philadelphia,FL,19154,40.1064092,-74.9739371,4.5,6,1,"Buses, Transportation, Bus Tours, Hotels & Travel, Travel Agents, Travel Services, Airport Shuttles, Tours, Public Transportation","{'Monday': '8:30-17:0', 'Tuesday': '8:30-17:0', 'Wednesday': '8:30-17:0', 'Thursday': '8:30-17:0', 'Friday': '8:30-17:0'}",,,,,
